id,name,nameShortened
515621,"GEMS Women Circuit 2023/2024 Tour 1","GEMS Women Circuit 2"
515622,"GEMS Women Circuit 2023/2024 Tour 1 - Group Stage","GEMS Women Circuit 2"
515765,"Asia Pacific Predator League 2024: Bangladesh Qualifier","Asia Pacific Predato"
551647,"Intel Extreme Masters China 2024: Chinese Open Qualifier #1","Intel Extreme Master"
554833,"Intel Extreme Masters China 2024: Chinese Open Qualifier #2","Intel Extreme Master"
554853,"Intel Extreme Masters China 2024: Chinese Qualifier","Intel Extreme Master"
554879,"Asia Pacific Predator League 2024: Philippines Qualifier","Asia Pacific Predato"
727323,"Esports Battles January 2024 CS2","Esports Battles Jan 2024 CS2"
727324,"Esports Battles February 2024 CS2","Esports Battles Feb 2024 CS2"
727325,"Esports Battles March 2024 CS2","Esports Battles Mar 2024 CS2"
727326,"Esports Battles April 2024 CS2","Esports Battles April 2024 CS2"
727327,"Esports Battles May 2024 CS2","Esports Battles May 2024 CS2"
727328,"Esports Battles June 2024 CS2","Esports Battles Jun 2024 CS2"
727329,"Esports Battles July 2024 CS2","Esports Battles Jul 2024 CS2"
727330,"Esports Battles August 2024 CS2","Esports Battles Aug 2024 CS2"
727331,"Esports Battles September 2024 CS2","Esports Battles Sep 2024 CS2"
727332,"Esports Battles October 2024 CS2","Esports Battles Oct 2024 CS2"
727333,"Esports Battles November 2024 CS2","Esports Battles Nov 2024 CS2"
727334,"Esports Battles December 2024 CS2","Esports Battles Dec 2024 CS2"
756842,"BetBoom Dacha Dubai 2024: SEA and CN Open Qualifier #1","BetBoom Dacha Dubai "
756843,"BetBoom Dacha Dubai 2024: EEU Open Qualifier #1","BetBoom Dacha Dubai "
756844,"BetBoom Dacha Dubai 2024: WEU Open Qualifier #1","BetBoom Dacha Dubai "
756899,"BetBoom Dacha Dubai 2024: NA and SA Open Qualifier #1","BetBoom Dacha Dubai "
756902,"BetBoom Dacha Dubai 2024: SEA and CN Closed Qualifier","BetBoom Dacha Dubai "
756903,"BetBoom Dacha Dubai 2024: EEU Closed Qualifier","BetBoom Dacha Dubai "
756910,"BetBoom Dacha Dubai 2024: NA and SA Closed Qualifier","BetBoom Dacha Dubai "
756911,"BetBoom Dacha Dubai 2024: SEA and CN Open Qualifier #2","BetBoom Dacha Dubai "
756913,"BetBoom Dacha Dubai 2024: EEU Open Qualifier #2","BetBoom Dacha Dubai "
756914,"BetBoom Dacha Dubai 2024: WEU Open Qualifier #2","BetBoom Dacha Dubai "
756916,"BetBoom Dacha Dubai 2024: NA and SA Open Qualifier #2","BetBoom Dacha Dubai "
756918,"BetBoom Dacha Dubai 2024: MENA Closed Qualifier","BetBoom Dacha Dubai "
756921,"BetBoom Dacha Dubai 2024: WEU Closed Qualifier","BetBoom Dacha Dubai "
756929,"PGL CS2 Major Copenhagen 2024 Europe RMR Open Qualifier 1","PGL CS2 Major Copenh"
756930,"PGL Major Copenhagen 2024: Arabian Open Qualifier","PGL Major Copenhagen"
756932,"PGL Major Copenhagen 2024: South African Open Qualifier","PGL Major Copenhagen"
756934,"PGL Major Copenhagen 2024: Levantine & North African Open Qualifier","PGL Major Copenhagen"
756936,"PGL Major Copenhagen 2024: South American Open Qualifier #1","PGL Major Copenhagen"
756941,"Asia Pacific Predator League 2024","Asia Pacific Predato"
756946,"PGL Major Copenhagen 2024: North American Open Qualifier #1","PGL Major Copenhagen"
756949,"PGL Major Copenhagen 2024: European Open Qualifier #2","PGL Major Copenhagen"
756950,"PGL Major Copenhagen 2024: South American Open Qualifier #2","PGL Major Copenhagen"
756957,"PGL Major Copenhagen 2024: North American Open Qualifier #2","PGL Major Copenhagen"
756958,"PGL Major Copenhagen 2024: Chinese Open Qualifier","PGL Major Copenhagen"
756966,"PGL Major Copenhagen 2024: Oceanic Open Qualifier","PGL Major Copenhagen"
756968,"PGL Major Copenhagen 2024: North American Qualifier","PGL Major Copenhagen"
756970,"Copenhagen Gaming Week 2024","Copenhagen Gaming We"
756971,"PGL Major Copenhagen 2024: European Open Qualifier #3","PGL Major Copenhagen"
756974,"Intel Extreme Masters China 2024: South American Open Qualifier #1","Intel Extreme Master"
756978,"Intel Extreme Masters Chengdu 2024: Oceanic Open Qualifier #1","Intel Extreme Master"
756979,"PGL Major Copenhagen 2024: East Asian Open Qualifier","PGL Major Copenhagen"
756981,"Intel Extreme Masters Chengdu 2024: South American Open Qualifier #2","Intel Extreme Master"
756982,"Intel Extreme Masters Chengdu 2024: North American Open Qualifier #1","Intel Extreme Master"
756983,"PGL Major Copenhagen 2024: Chinese Qualifier","PGL Major Copenhagen"
756989,"PGL Major Copenhagen 2024: Southeast Asian Open Qualifier","PGL Major Copenhagen"
756992,"PGL Major Copenhagen 2024: European Open Qualifier #4","PGL Major Copenhagen"
756993,"Intel Extreme Masters Chengdu 2024: Oceanic Open Qualifier #2","Intel Extreme Master"
756995,"Intel Extreme Masters Chengdu 2024: South American Qualifier","Intel Extreme Master"
756997,"PGL Major Copenhagen 2024: South American Qualifier","PGL Major Copenhagen"
757001,"New Year Cup 2024","New Year Cup 2024"
757003,"BLAST Premier: Spring Groups 2024","BLAST Premier: Sprin"
757010,"ESL One Birmingham 2024: Southeast Asia Open Qualifier #1","ESL One Birmingham 2"
